dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_gen_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,city,region,sub_region,year,county,state,zip,latitude,longitude,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID,address
. Soares Dairy 43 (PreviousIy P&E Dairy),15336 10th Avenue Hanford CA 93230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Soares Dairy #3_15336 10th Ave_Kings.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Hanford,R5,S,2023,Kings,California,93230,36.248924008687,-119.637324968184,livingston,,,,,,,,,,,"15336 10th Ave, Hanford, California, 93230"
Vitor Borba 42 Dairy,16452 11th Avenue Hanford CA 93230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Vitor Borba Dairy #2_16452 11th Ave_Kings.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Hanford,R5,S,2023,Kings,California,93230,36.233747986254,-119.655360979799,livingston,,,,,,,,,,,"16452 11th Ave, Hanford, California, 93230"
Vitor Borba 1 Dairy,7721 FIint Avenue Hanford CA 93230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Vitor Borba Dairy_7721 Flint Ave_Kings.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Hanford,R5,S,2023,Kings,California,93230,36.37134899682,-119.595835972389,livingston,,,,,,,,,,,"7721 Flint Ave, Hanford, California, 93230"
,8409 Sth Ave. Hanford CA 93230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_West Creek Dairy_8409 5th Ave_Kings.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,93230,R5,S,2023,,Hanford,California,36.332851,-119.647705,livingston,,,,,,,,,,,"93230, Hanford, California"
Moonstone Dairy,1305 lona Avenue Hanford CA 93230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Moonstone Dairy_1305 Iona Ave_Kings.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,93230,R5,S,2023,,Hanford,California,36.332851,-119.647705,livingston,,,,,,,,,,,"93230, Hanford, California"
. Midnight Farms,9200 19 1/2 Avenue Lemoore CA 93245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Midnight Farms_9240 19 1-2 Ave_Kings.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Lemoore,R5,S,2023,Kings,California,93245,36.340686731565,-119.808279182708,livingston,,,,,,,,,,,"9200 19 1/2 Ave, Lemoore, California, 93245"
,6680 16th Ave. Hanford CA 93230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Cunha Dairy #1_6680 16th Ave_Kings.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Hanford,R5,S,2023,Kings,California,93230,36.376908388626,-119.745055605687,livingston,,,,,,,,,,,"6680 16th Ave, Hanford, California, 93230"
. M.F. Rosa Dairy,10090 2nd Avenue Hanford CA 93230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_M.F. Rosa Dairy_10090 2nd Ave_Kings.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Hanford,R5,S,2023,Kings,California,93230,36.327887990665,-119.496365999568,livingston,,,,,,,,,,,"10090 2nd Ave, Hanford, California, 93230"
Manuel & AIda Lawrence Dairy woip sciencoo112,12871 Kent Avenue Hanford 93230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Manuel & Alda Lawrence Dairy_12871 Kent Ave_Kings.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Hanford,R5,S,2023,Kings,California,93230,36.224729016528,-119.687975970883,livingston,,,,,,,,,,,"12871 Kent Ave, Hanford, California, 93230"
Vitor Borba Heifers (Prev. Vitor Borba 42),7410 7th Avenue Hanford CA 93230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Vitor Borba Heifers_7410 7th Ave_Kings.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Hanford,R5,S,2023,Kings,California,93230,36.365861993453,-119.583368981063,livingston,,,,,,,,,,,"7410 7th Ave, Hanford, California, 93230"
