dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_to_reported,estimated_annual_milk_production_l,wastewater_estimated,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation
River Oaks Dairy,3621 E. Mount Whitney Laton CA 93242,1657.0,190.0,0,0.0,0,0.0,,44825.32,,0,633431.95,107671.35,161990.65,1141211.19,0,0,0,0,0,,,,,,,,,,,,,2023AR_River Oaks Dairy_3621 E Mt. Whitney Ave_Fresno.pdf,0.0,0.0,0.0,1847.0,0.0,0,0.0,0.0,107671.35,0.0,0.0,161990.65,0.0,0.0,1141211.19,0.0,0.0,0.0,21417623.6857904,22060152.396364115,0.0,0.0,0.0,0.0,0.0,560786.14,0.0,0.0,-100.0
Sweet Haven Dairy,10467 W. Kamm Avenue Riverdale CA 93656,1615.0,248.0,0,978.0,0,317.0,,65627.27,,0,862651.95,145343.0,289631.15,1505056.8,0,0,0,0,0,,,,,,,,,,,,,2023AR_Black Diamond Dairy (former Sweet Haven)_10467 W Kamm Ave_Fresno.pdf,0.0,0.0,0.0,3158.0,0.0,0,0.0,0.0,145343.0,0.0,0.0,289631.15,0.0,0.0,1505056.8,0.0,0.0,0.0,21603158.054481603,22251252.79611605,0.0,0.0,0.0,0.0,0.0,686018.2819512195,0.0,0.0,-100.0
Zonneveld Dairies Complex,1523 E. Cerini Avenue Laton CA 93242,2192.0,819.0,0,5741.0,0,792.0,,219082.54,,0,2973359.35,521503.24,1064518.85,0.0,0,0,0,0,0,,,,,,,,,,,,,2023AR_Zonneveld Dairies Complex_1560 Cerini Ave_Fresno.pdf,0.0,0.0,0.0,9544.0,0.0,0,0.0,0.0,521503.24,0.0,0.0,1064518.85,0.0,0.0,0.0,0.0,0.0,0.0,34915249.0080752,35962706.478317454,0.0,0.0,0.0,0.0,0.0,1581238.1492682928,0.0,0.0,-100.0
L & J Vanderham,10772 W. Mount Whitney Avenue Riverdale CA 93656,2632.0,780.0,0,151.0,0,0.0,,108560.34,,0,1524499.15,256978.25,420111.35,2722942.19,0,0,0,0,0,,,,,,,,,,,,,2023AR_L & J Vanderham Dairy_10772 W Mt. Whitney Ave_Fresno.pdf,0.0,0.0,0.0,3563.0,0.0,0,0.0,0.0,256978.25,0.0,0.0,420111.35,0.0,0.0,2722942.19,0.0,0.0,0.0,39565204.1233984,40752160.24710035,0.0,0.0,0.0,0.0,0.0,1052724.5936585364,0.0,0.0,-100.0
G &A Dairy,2200 S. Marks Avenue Fresno CA 93706,1255.0,195.0,0,463.0,0,0.0,,41635.19,,0,574082.95,96511.84,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf,0.0,0.0,0.0,1913.0,0.0,0,0.0,0.0,96511.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16814052.16264,17318473.727519203,0.0,0.0,0.0,0.0,0.0,491679.2658536585,0.0,0.0,-100.0
Open Sky Ranch Dairy,12103 Elkhorn Avenue Riverdale CA 93656,4411.0,760.0,0,1521.0,0,0.0,,158504.68,,0,2148751.35,365330.69,679947.55,3727324.81,0,0,0,0,0,,,,,,,,,,,,,2023AR_Open Sky Dairy_12103 W Elkhorn Ave_Fresno.pdf,0.0,0.0,0.0,6692.0,0.0,0,0.0,0.0,365330.69,0.0,0.0,679947.55,0.0,0.0,3727324.81,0.0,0.0,0.0,59962388.7813872,61761260.44482882,0.0,0.0,0.0,0.0,0.0,1738972.4419512197,0.0,0.0,-100.0
Maple Dairy,19860 S. Maple Avenue Laton CA 93242,2294.0,392.0,0,1408.0,0,0.0,,85475.99,,0,1186563.9,206648.4,384304.85,2035463.8,0,0,0,0,0,,,,,,,,,,,,,2023AR_Maple Dairy_19860 Maple Ave_Fresno.pdf,0.0,0.0,0.0,4094.0,0.0,0,0.0,0.0,206648.4,0.0,0.0,384304.85,0.0,0.0,2035463.8,0.0,0.0,0.0,31146582.1440352,32080979.60835626,0.0,0.0,0.0,0.0,0.0,971924.6468292683,0.0,0.0,-100.0
Fontes Dairy Farms - Dairy 2,20334 S Polk Avenue Riverdale CA 93656,2242.0,336.0,0,73.0,0,0.0,,65185.3,,0,908601.8,154275.28,249046.8,1614807.16,0,0,0,0,0,,,,,,,,,,,,,2023AR_Fontes Dairy Farms - Dairy 2_20334 S Polk Ave_Fresno.pdf,0.0,0.0,0.0,2651.0,0.0,0,0.0,0.0,154275.28,0.0,0.0,249046.8,0.0,0.0,1614807.16,0.0,0.0,0.0,29894225.1553696,30791051.910030685,0.0,0.0,0.0,0.0,0.0,790841.2356097561,0.0,0.0,-100.0
Kiss Cattle LLC,2585 South Chateau Fresno Ave. Fresno CA 93706,0.0,0.0,0,0.0,0,3607.0,,25808.6,,0,222350.7,69171.15,164673.4,123538.66,0,0,0,0,0,,,,,,,,,,,,,"2023AR_Kiss Cattle, LLC_2585 S Chateau Fresno Ave_Fresno.pdf",0.0,0.0,0.0,3607.0,0.0,0,0.0,0.0,69171.15,0.0,0.0,164673.4,0.0,0.0,123538.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133555.77317073173,0.0,0.0,-100.0
Fontes Dairy Farms - Dairy 1,5512 W Davis Avenue Riverdale CA 93656,585.0,78.0,0,463.0,0,0.0,,24787.06,,0,330073.15,55615.05,112117.05,573548.19,0,0,0,0,0,,,,,,,,,,,,,2023AR_Fontes Dairy Farms - Dairy #1_5512 W Davis Ave_Fresno.pdf,0.0,0.0,0.0,1126.0,0.0,0,0.0,0.0,55615.05,0.0,0.0,112117.05,0.0,0.0,573548.19,0.0,0.0,0.0,7688080.402641601,7918722.8147208495,0.0,0.0,0.0,0.0,0.0,252730.32585365852,0.0,0.0,-100.0
