dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,total_manure_excreted_tons,total_manure_gen_n_lbs,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_to_reported,estimated_annual_milk_production_l,wastewater_estimated,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation
. Soares Dairy 43 (PreviousIy P&E Dairy),15336 10th Avenue Hanford CA 93230,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2023AR_Soares Dairy #3_15336 10th Ave_Kings.pdf,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitor Borba 42 Dairy,16452 11th Avenue Hanford CA 93230,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2023AR_Vitor Borba Dairy #2_16452 11th Ave_Kings.pdf,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitor Borba 1 Dairy,7721 FIint Avenue Hanford CA 93230,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2023AR_Vitor Borba Dairy_7721 Flint Ave_Kings.pdf,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,8409 Sth Ave. Hanford CA 93230,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2023AR_West Creek Dairy_8409 5th Ave_Kings.pdf,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moonstone Dairy,1305 lona Avenue Hanford CA 93230,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2023AR_Moonstone Dairy_1305 Iona Ave_Kings.pdf,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
. Midnight Farms,9200 19 1/2 Avenue Lemoore CA 93245,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2023AR_Midnight Farms_9240 19 1-2 Ave_Kings.pdf,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,6680 16th Ave. Hanford CA 93230,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2023AR_Cunha Dairy #1_6680 16th Ave_Kings.pdf,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
. M.F. Rosa Dairy,10090 2nd Avenue Hanford CA 93230,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2023AR_M.F. Rosa Dairy_10090 2nd Ave_Kings.pdf,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manuel & AIda Lawrence Dairy woip sciencoo112,12871 Kent Avenue Hanford 93230,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2023AR_Manuel & Alda Lawrence Dairy_12871 Kent Ave_Kings.pdf,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitor Borba Heifers (Prev. Vitor Borba 42),7410 7th Avenue Hanford CA 93230,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,,,0,2023AR_Vitor Borba Heifers_7410 7th Ave_Kings.pdf,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
